id,created_at,text,retweet_count,favorite_count
978686000000000000,27-03-2018 17:32,"b'RT @vijayrupanibjp: ""\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xb5 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xb5\xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xb0""  \n#MadhavpurMela \n#EkBharatShreshthaBharat https://t.co/hNABmWJU5C'",1414,0
,,,,
978685000000000000,27-03-2018 17:25,b'Attended the farewell function for Rajya Sabha MPs who are retiring. I appreciate their contribution to Parliament\xe2\x80\xa6 https://t.co/cRfQ77cZlU',2124,11597
,,,,
978684000000000000,27-03-2018 17:23,b'RT @rajyasabhatv: PM Modi bids farewell to retiring members of Rajya Sabha: https://t.co/5fzWrzordD via @YouTube',503,0
,,,,
978684000000000000,27-03-2018 17:22,b'Joined the ceremony marking the presentation of the Gallantry Awards and Distinguished Service Decorations at Rasht\xe2\x80\xa6 https://t.co/V5AC0iDT7A',2018,9422
,,,,
978683000000000000,27-03-2018 17:19,"b'RT @vijayrupanibjp: Fairs in Gujarat symbolize cultural, social and religious diversity of the people. Happy to inaugurate Madhavpur fair -\xe2\x80\xa6'",1165,0
,,,,
978683000000000000,27-03-2018 17:19,"b'RT @vijayrupanibjp: Felt the divine presence during my visit to Madhavraiji Mandir, Madhavpur. Prayed to Lord Shri Krishna and Rukmini ji f\xe2\x80\xa6'",829,0
,,,,
978683000000000000,27-03-2018 17:19,"b'RT @vijayrupanibjp: At Porbandar with CM Arunachal Shri @PemaKhanduBJP ji, CM Manipur Shri @NBirenSingh ji, Minister of state for home affa\xe2\x80\xa6'",714,0
,,,,
978683000000000000,27-03-2018 17:18,b'RT @dr_maheshsharma: \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa7\xe0\xa4\xb5\xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xae\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xa8\xe0\xa4\xae\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x82\xe0\xa4\x81 \xe0\xa4\x9c\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x81 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x83\xe0\xa4\xb7\xe0\xa5\x8d\xe0\xa4\xa3 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c\xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xb0\xe0\xa5\x81\xe0\xa4\x95\xe0\xa4\xae\xe0\xa4\xa3\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb9 \xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xa5\xe0\xa4\xbe \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\xac\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x80\xe2\x80\xa6',639,0
,,,,
978683000000000000,27-03-2018 17:18,b'RT @dr_maheshsharma: At the historical #MadhavpurMela where we are celebrating the immortal journey which Rukmini undertook from Arunachal\xe2\x80\xa6',811,0
,,,,
978650000000000000,27-03-2018 15:09,b'Had a great interaction with a youth delegation from Bangladesh. https://t.co/PXYYeNuCVE',2847,21223
,,,,
978649000000000000,27-03-2018 15:03,b'I appreciate your enthusiasm. #FitIndia https://t.co/mvvacQMDay',1045,5607
,,,,
978648000000000000,27-03-2018 15:02,"b'Hi Tanishk, I hope your exams are going well. Best wishes to you and your friends. #ExamWarriors https://t.co/M51ifqgB78'",1696,9084
,,,,
978267000000000000,26-03-2018 13:48,b'Making Khadi a part of our lives and encouraging others to do so is a great tribute to Bapu. It also empowers lakhs\xe2\x80\xa6 https://t.co/ilAfATo96K',2094,10358
,,,,
978267000000000000,26-03-2018 13:45,b'Well said. #FitIndia https://t.co/jrkzmx73lI',1074,5544
,,,,
978267000000000000,26-03-2018 13:44,b'Certainly. Ideas from everyone are welcome. https://t.co/d4Lc5nzHvQ',1138,5850
,,,,
978263000000000000,26-03-2018 13:29,b'RT @mansukhmandviya: Joined the Hon\xe2\x80\x99ble President of India  @rashtrapatibhvn in the Foundation Stone Laying ceremony of 5 NH projects worth\xe2\x80\xa6',756,0
,,,,
978262000000000000,26-03-2018 13:28,b'RT @rashtrapatibhvn: #PresidentKovind lays foundation stone of five projects of National Highways Authority of India and distributes job ap\xe2\x80\xa6',819,0
,,,,
978262000000000000,26-03-2018 13:28,b'RT @rashtrapatibhvn: \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa3\xe0\xa4\xb8\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\x95\xe0\xa4\x88 \xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\x96\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa8 \xe0\xa4\xaa\xe0\xa4\xb9\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\xaf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\xb8\xe0\xa4\xa6 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\xae\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\xa6 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\xb6\xe0\xa5\x8b\xe0\xa4\xad\xe0\xa4\xbf\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe\xe2\x80\xa6',1686,0
,,,,
